日期,做空,做多,主力空,主力多
3月3日,"['JD', 'CS', 'RU', 'RM', 'IM', 'WR', 'BU', 'RB', 'J']","['MA', 'P', 'BB', 'PP', 'L', 'FU', 'HC', 'FB', 'ZC']","['JD1509.DCE', 'CS1509.DCE', 'RU1505.SHF', 'RM505.CZC', 'IM_S1506.SHF', 'WR1511.SHF', 'BU1509.SHF', 'RB1510.SHF', 'J1509.DCE']","['MA509.CZC', 'P1509.DCE', 'BB1509.DCE', 'PP1509.DCE', 'L1509.DCE', 'FU1509.SHF', 'HC1503.SHF', 'FB1503.DCE', 'RM509.CZC']"
3月4日,"['JD', 'BU', 'CS', 'RM', 'WR', 'IM', 'RU', 'RB', 'JM']","['AF', 'AL', 'PP', 'L', 'FU', 'BB', 'HC', 'FB', 'ZC']","['JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'RM505.CZC', 'WR1511.SHF', 'IM_S1506.SHF', 'RU1505.SHF', 'RB1510.SHF', 'JM1509.DCE']","['AF1506-S.CFE', 'AL1504.SHF', 'PP1509.DCE', 'L1509.DCE', 'FU1509.SHF', 'BB1509.DCE', 'HC1503.SHF', 'FB1503.DCE', 'RM509.CZC']"
3月5日,"['BU', 'JD', 'RS', 'CS', 'RI', 'RM', 'WR', 'IM', 'RU']","['AL', 'AF', 'PP', 'L', 'BB', 'FU', 'HC', 'FB', 'ZC']","['BU1509.SHF', 'JD1509.DCE', 'RS509.CZC', 'CS1509.DCE', 'RI509.CZC', 'RM505.CZC', 'WR1511.SHF', 'IM_S1506.SHF', 'RU1505.SHF']","['AL1504.SHF', 'AF1506-S.CFE', 'PP1509.DCE', 'L1509.DCE', 'BB1509.DCE', 'FU1509.SHF', 'HC1503.SHF', 'FB1503.DCE', 'RM509.CZC']"
3月6日,"['BU', 'JD', 'CS', 'RM', 'RU', 'WR', 'IM', 'P', 'J']","['MA', 'RB', 'BB', 'PP', 'L', 'HC', 'FU', 'FB', 'ZC']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'RM505.CZC', 'RU1505.SHF', 'WR1511.SHF', 'IM_S1506.SHF', 'P1505.DCE', 'J1509.DCE']","['MA509.CZC', 'RB1505.SHF', 'BB1509.DCE', 'PP1509.DCE', 'L1509.DCE', 'HC1503.SHF', 'FU1509.SHF', 'FB1503.DCE', 'MA506.CZC']"
3月9日,"['BU', 'JD', 'CS', 'RM', 'WR', 'RU', 'P', 'IM', 'TA']","['MA', 'BB', 'RB', 'PP', 'L', 'HC', 'FU', 'FB', 'ZC']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'RM505.CZC', 'WR1511.SHF', 'RU1505.SHF', 'P1505.DCE', 'IM_S1506.SHF', 'TA509.CZC']","['MA509.CZC', 'BB1509.DCE', 'RB1505.SHF', 'PP1509.DCE', 'L1509.DCE', 'HC1503.SHF', 'FU1509.SHF', 'FB1503.DCE', 'MA506.CZC']"
3月10日,"['JD', 'BU', 'CS', 'RM', 'RU', 'IM', 'WR', 'P', 'TA']","['MA', 'BB', 'RB', 'PP', 'L', 'FU', 'ME', 'FB', 'ZC']","['JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'RM505.CZC', 'RU1505.SHF', 'IM_S1506.SHF', 'WR1510.SHF', 'P1505.DCE', 'TA509.CZC']","['MA509.CZC', 'BB1509.DCE', 'RB1505.SHF', 'PP1509.DCE', 'L1509.DCE', 'FU1509.SHF', 'ME504.CZC', 'FB1503.DCE', 'MA506.CZC']"
3月11日,"['ZC', 'JD', 'BU', 'WR', 'IM', 'RM', 'RU', 'P', 'CS']","['B', 'CU', 'SR', 'BB', 'PP', 'RB', 'L', 'FU', 'FB']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'WR1511.SHF', 'IM_S1506.SHF', 'RM505.CZC', 'RU1505.SHF', 'P1505.DCE', 'CS1509.DCE']","['B1509.DCE', 'CU1506.SHF', 'SR505.CZC', 'BB1509.DCE', 'PP1509.DCE', 'RB1505.SHF', 'L1509.DCE', 'FU1509.SHF', 'FB1503.DCE']"
3月12日,"['ZC', 'JD', 'BU', 'RM', 'WR', 'RU', 'IM', 'TA', 'P']","['BB', 'SR', 'AF', 'RB', 'PP', 'L', 'ME', 'FU', 'FB']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'RM505.CZC', 'WR1510.SHF', 'RU1505.SHF', 'IM_S1506.SHF', 'TA509.CZC', 'P1505.DCE']","['BB1509.DCE', 'SR505.CZC', 'AF1506-S.CFE', 'RB1505.SHF', 'PP1509.DCE', 'L1509.DCE', 'ME504.CZC', 'FU1509.SHF', 'FB1503.DCE']"
3月13日,"['ZC', 'JD', 'BU', 'RM', 'RU', 'PP', 'WR', 'TA', 'CS']","['B', 'BB', 'MA', 'SR', 'AF', 'RB', 'L', 'FU', 'ME']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'RM505.CZC', 'RU1505.SHF', 'PP1505.DCE', 'WR1510.SHF', 'TA509.CZC', 'CS1509.DCE']","['B1509.DCE', 'BB1509.DCE', 'MA509.CZC', 'SR505.CZC', 'AF1506-S.CFE', 'RB1505.SHF', 'L1509.DCE', 'FU1509.SHF', 'ME504.CZC']"
3月16日,"['ZC', 'JD', 'BU', 'RM', 'RU', 'IM', 'TA', 'WR', 'P']","['B', 'BB', 'AF', 'MA', 'SR', 'L', 'RB', 'PP', 'FU']","['TA505.CZC', 'JD1509.DCE', 'BU1509.SHF', 'RM505.CZC', 'RU1505.SHF', 'IM_S1506.SHF', 'TA509.CZC', 'WR1511.SHF', 'P1505.DCE']","['B1509.DCE', 'BB1509.DCE', 'AF1509-S.CFE', 'MA509.CZC', 'SR505.CZC', 'L1509.DCE', 'RB1505.SHF', 'PP1509.DCE', 'FU1509.SHF']"
