DAY,ID,DATA,Maincontract,Submaincontract
1月9日,AG,0.0450198295982846,AG1506.SHF,AG1501.SHF
1月9日,CU,0.09387170254978323,CU1503.SHF,CU1504.SHF
1月9日,SR,-0.0850669287748133,SR505.CZC,SR509.CZC
1月9日,B,0.004516711833785004,B1505.DCE,B1509.DCE
1月9日,J,-0.34250700280112045,J1505.DCE,J1501.DCE
1月9日,L,0.07132462216462772,L1505.DCE,L1509.DCE
1月9日,RI,-0.035768157939866096,RI505.CZC,RI509.CZC
1月9日,P,-0.038267615970415274,P1505.DCE,P1509.DCE
1月9日,ZN,-0.04735954327234981,ZN1503.SHF,ZN1502.SHF
1月9日,RB,-0.020350391675346628,RB1505.SHF,RB1510.SHF
1月9日,PB,-0.01574995684943329,PB1503.SHF,PB1502.SHF
1月9日,TA,-0.08585161323311347,TA505.CZC,TA509.CZC
1月9日,JD,-0.21703813032906122,JD1505.DCE,JD1509.DCE
1月9日,V,0.02889464142937437,V1505.DCE,V1509.DCE
1月9日,I,0.10856632956573467,I1505.DCE,I1509.DCE
1月9日,M,0.010519247340647813,M1505.DCE,M1509.DCE
1月9日,FG,0.04238665923448532,FG506.CZC,FG509.CZC
1月9日,A,0.04679512891096471,A1505.DCE,A1509.DCE
1月9日,BB,-0.03307357738310982,BB1502.DCE,BB1505.DCE
1月9日,FU,-0.2635809954627826,FU1503.SHF,FU1506.SHF
1月9日,CF,-0.0750143560915163,CF505.CZC,CF509.CZC
1月9日,WR,0.1817561461426385,WR1504.SHF,WR1502.SHF
1月9日,RU,0.06640193716751981,RU1505.SHF,RU1509.SHF
1月9日,FB,0.0,FB1505.DCE,FB1501.DCE
1月9日,AU,0.025034293552812073,AU1506.SHF,AU1502.SHF
1月9日,C,0.010519247340647813,M1505.DCE,M1509.DCE
1月9日,HC,-0.14902125279642056,HC1505.SHF,HC1501.SHF
1月9日,AL,-0.059235493857984614,AL1503.SHF,AL1504.SHF
1月9日,WH,-0.10150423461003666,WH501.CZC,WH505.CZC
